,0
cappadocia,1
capped,0
capri,0
capricorn,1
caprio,0
caps,0
capsule,0
capt,0
captain,12
caption,3
captioned,0
captions,0
captivatingly,0
captives,0
captivity,0
capture,2
captured,2
captures,0
capturing,0
car,7
cara,0
caracas,0
caramel,0
caravan,0
carbon,1
carbs,2
card,0
cardboard,0
cardenas,0
cardiff,0
cardinal,0
cardio,0
cards,1
cardz,0
care,40
cared,0
career,1
careers,0
carefree,0
careful,1
carefull,0
carefully,2
caregiver,0
careless,2
carer,0
cares,3
cargo,0
caribbean,1
caricature,1
caricatured,1
caricatures,1
carillo,0
carina,1
caring,0
carl,0
carlin,0
carlo,0
carlos,1
carlsbad,0
carlton,0
carly,0
carmel,0
carnage,0
carne,0
carnival,1
caro,0
carol,1
carole,0
carolina,6
carolinas,0
carolyn,0
carousel,0
carp,0
carpenter,0
carpet,0
carpets,0
carre,0
carrefour,0
carrey,0
carriage,0
carried,1
carrier,0
carriers,1
carries,0
carrillo,0
carrington,0
carrion,0
carroll,0
carrot,1
carrots,5
carry,2
carrying,0
carryout,2
cars,7
cart,0
carter,0
cartier,0
cartoon,4
cartoons,0
carts,2
cartwheel,0
caruso,0
carved,0
carwash,1
cary,0
caryl,0
casa,5
casablanca,0
casal,0
case,19
caseload,0
cases,107
cash,1
cashew,0
cashews,0
cashier,0
cashing,0
cashman,0
casino,0
casinos,0
cask,0
casket,0
cast,0
castaway,1
casted,0
caster,1
casters,1
casting,0
castle,1
castro,1
casts,0
casual,0
casualty,0
cat,5
catalina,1
catalog,0
catalogue,1
catalogues,0
catalunya,0
catalyst,0
catastrophe,0
catastrophic,0
catch,6
catcher,0
catches,0
catching,3
category,1
cater,0
catering,1
caterpillar,0
caters,1
cates,0
cathedral,0
catherine,1
catholic,0
catholics,0
cathy,1
catnaps,0
cats,2
catwalk,0
cau,0
caught,2
cauliflower,0
cause,8
caused,4
causes,2
causeway,0
causing,2
caution,2
cautious,1
cautiously,0
cavanaugh,0
cave,1
caveman,0
cavern,1
caves,0
cavity,0
cay,0
cayenne,0
cayman,1
cb,0
cbc,0
cbs,0
cc,2
cd,0
cdc,11
cds,1
ce,2
ceased,0
cecile,0
cedar,0
ceiling,0
celebrate,3
celebrated,2
celebrates,0
celebrating,1
celebration,1
celebrations,5
celebrities,0
celebrity,3
celebs,0
celery,0
cell,0
cellar,0
cells,0
celtic,0
cement,0
cemetery,1
census,0
cent,0
centaurs,0
centennial,0
center,8
centered,0
centering,0
centers,1
central,3
centre,2
centrepoint,0
centres,0
centrum,0
cents,0
centurion,2
century,0
ceo,6
ceos,1
ceramic,0
ceramics,0
cereal,0
cereals,0
cerebral,0
ceremonies,1
ceremony,0
cern,0
certainly,0
certainty,0
certificate,0
certificates,1
certified,1
cessna,1
cgi,0
ch,0
cha,0
chad,1
chadwick,0
chahta,0
chai,0
chain,4
chains,0
chair,0
chairman,0
chairs,0
chakra,2
chal,0
chale,0
chalet,0
chalk,0
challenge,188
challenged,0
challenges,2
challenging,1
chalo,0
chamber,1
chambered,0
chamberlain,0
chambers,1
champ,0
champagne,1
champion,0
champions,0
championship,0
championships,0
chan,0
chance,6
chancellor,0
chances,0
chand,0
chandler,4
chandra,0
chanel,0
change,10
changed,7
changes,2
changing,1
channel,8
channeling,0
channels,0
chanson,0
chant,0
chanting,1
chants,0
chaos,0
chaotic,17
chapa,0
chaplin,0
chapman,0
chapter,0
chapters,0
char,0
character,2
characteristics,0
characters,0
charcoal,0
charge,9
charged,0
charger,1
charges,0
charging,0
charitable,0
charities,0
charity,5
charlatan,1
charle,0
charles,2
charleston,0
charli,0
charlie,0
charlotte,2
charly,0
charmin,0
chart,0
charter,0
charting,0
chartreuse,1
charts,1
chase,0
chasers,0
chasing,1
chastity,0
chat,1
chatham,1
chats,0
chatsworth,0
chatted,0
chatting,0
chatty,0
chaudhary,2
chavez,0
chawla,0
che,1
cheadle,0
cheap,0
cheaper,1
cheapest,0
cheapo,1
cheaters,0
cheating,1
check,14
checked,2
checkers,0
checking,0
checklist,0
checkout,0
checkpoint,2
checkpoints,0
checks,0
cheddar,0
cheek,1
cheeks,1
cheeky,0
cheen,1
cheer,0
cheered,0
cheerful,0
cheerily,1
cheering,0
cheerleading,0
cheers,1
cheery,0
cheese,2
cheesecake,1
cheesy,0
cheetos,1
chef,2
chefs,0
chelsea,1
chemical,0
chemist,0
chemistry,0
chemists,1
chen,0
chennai,0
cheque,0
cherish,1
cherished,0
cherries,0
cherry,3
cheryl,0
chesapeake,0
cheshire,0
chess,0
chest,2
chester,0
chestnut,0
chevrolet,1
chevron,0
chevy,1
chewed,0
chez,0
chi,0
chia,1
chiang,0
chiaroscuro,0
chiba,0
chic,1
chica,1
chicago,8
chichester,0
chick,0
chicken,8
chickens,0
chicks,0
chief,6
chiefs,0
chieftain,1
chihuahua,0
chihuahuas,1
child,4
childhood,1
children,11
childs,0
chile,0
chili,1
chill,4
chillax,0
chilled,0
chillin,5
chilling,2
chillout,1
chilly,0
chime,0
chimes,0
chimney,0
chimpanzee,0
chin,1
china,13
chinatown,0
chinese,2
ching,0
chins,0
chip,3
chipper,0
chips,2
chirping,0
chiswick,0
chit,0
chitchat,0
chives,0
chlo,0
chlorine,0
choas,0
chock,0
choco,0
chocolat,0
chocolate,5
choice,3
choices,1
choir,0
choke,0
cholera,0
choo,0
choose,3
chop,3
chopped,0
chopper,0
chops,0
chord,0
choreographed,1
choreographer,0
choreography,1
chores,1
chorus,1
choruses,0
chose,1
chosen,0
chota,2
chow,0
chp,0
chris,4
christ,2
christi,0
christian,2
christianity,0
christians,0
christie,0
christina,0
christmas,0
christopher,0
chronic,0
chronicle,1
chronicles,3
chronicling,0
chronology,0
chubby,0
chuck,1
chucking,0
chuckle,0
chucks,0
chug,0
chugging,0
church,14
churches,0
churchill,0
chutney,0
cic,0
cider,1
cigar,1
cigarettes,0
cigars,0
cincinnati,5
cine,0
cinema,4
cinematic,1
cinematographer,0
cinematographers,0
cinematography,0
cinnamon,1
circle,0
circles,0
circling,1
circuit,0
circuitous,0
circuits,0
circular,0
circulate,0
circulated,1
circulating,1
circulation,0
circumstance,0
circumstances,3
circus,0
cirque,0
cite,0
cities,4
citizen,1
citizens,4
city,19
citycenter,0
cityscape,0
citywide,1
civic,0
civil,1
civilian,0
civilians,0
civilised,0
civilization,1
civilized,0
cj,0
ck,1
cking,0
cl,0
claiborne,0
claim,2
claimed,0
claiming,2
claims,2
clair,0
claire,0
clam,0
clamps,0
clams,1
clan,0
clanking,0
clanton,0
clap,0
clapping,0
claps,0
clara,0
clare,1
clarice,0
clarification,1
clarity,0
clark,0
clases,0
class,9
classed,0
classes,2
classic,1
classical,0
classics,0
classroom,2
classy,1
claus,0
claw,0
claws,2
clay,0
clayton,1
clean,8
cleaned,0
cleaner,2
cleaners,0
cleanest,0
cleaning,11
cleanliness,0
cleans,0
cleanser,0
cleanses,1
cleansing,0
cleanup,1
clear,3
clearance,0
cleared,0
clearing,0
clearly,0
clears,0
clearwater,2
cleaver,0
clerks,1
cleveland,2
clever,0
click,5
clicked,0
clicking,0
clicks,0
client,0
clientele,0
clients,0
cliff,1
clifford,0
cliffs,0
clifton,0
climate,2
climatic,0
climb,0
climbing,1
climbs,0
clinic,4
clinical,1
clinics,1
clink,0
clint,0
clinton,0
clip,1
clipper,1
clippers,0
clips,0
clive,0
clock,1
clocks,0
clockwise,0
cloned,1
clones,1
closed,18
closely,0
closer,0
closes,0
closest,0
closet,1
closeup,0
closing,3
closure,1
closures,0
clot,1
cloth,0
clothe,0
clothes,3
clothesline,0
clothing,0
cloths,0
cloud,0
clouding,0
clouds,0
cloudy,0
clout,0
clover,0
cloves,0
clovis,0
clown,0
club,9
clubbing,0
clubhouse,0
clubs,0
clue,0
cluster,1
clutch,0
clyde,2
cm,12
cnn,2
co,10
coach,2
coached,0
coachella,0
coaches,0
coaching,0
coahuila,0
coal,2
coalition,1
coarse,0
coast,3
coastal,0
coaster,0
coastline,0
coat,0
coating,0
cobbler,0
cobblestones,1
cobbs,0
cobra,2
coburn,0
cobwebs,0
cocaine,0
cock,0
cocked,0
cockroach,0
cockroaches,0
cocktail,5
cocktails,0
cocky,0
coco,0
cocoa,0
coconut,3
coconuts,0
cocoon,0
cod,3
code,7
codependent,0
codes,1
codfish,0
coding,0
cody,0
coercion,0
coexist,0
coexistence,0
coffee,3
coffees,0
coffin,0
coffins,1
cohabitation,0
coiffure,0
coil,0
coin,3
coincided,1
coincidence,0
coinciding,0
coined,0
coins,0
coke,0
col,0
colada,1
colby,0
cold,0
coldest,0
coldplay,1
coldwater,0
cole,1
coles,0
colin,0
coliseum,0
coll,0
collaborate,0
collaborated,0
collaboration,1
collaborative,0
collage,0
collapsing,1
collar,0
colleague,0
colleagues,0
collect,1
collected,0
collection,1
collections,0
collective,0
collectively,1
collector,0
collectors,0
college,2
collier,0
collins,0
collision,0
cologne,2
colombia,1
colombian,0
colombo,0
colonel,0
colonial,0
colonoscopy,0
colony,0
color,1
colorado,4
colored,0
colorful,1
coloring,2
colorist,0
colors,5
colour,1
coloured,0
colourful,0
colouring,0
colours,1
columbia,3
columbine,0
columbus,1
column,0
com,1
comb,1
combat,3
combating,0
combination,2
combine,0
combined,0
combines,0
combing,0
combo,3
combs,0
comcast,2
comdey,0
come,30
comeback,0
comedian,5
comedians,0
comedic,0
comedy,13
comeon,1
comes,5
comet,0
comfort,0
comfortable,0
comfortably,1
comforting,0
comforts,0
comfy,1
comic,1
comical,0
comicbook,0
comiccon,0
comics,1
comin,0
coming,17
comingsoon,17
command,2
commander,0
commandments,1
commando,0
commemorate,0
commenced,0
commencing,0
comment,8
commentary,0
commenting,1
comments,4
commerce,0
commercial,0
commercials,0
comming,0
commission,0
commissioned,0
commissioner,1
commissions,2
commit,0
commitment,0
commitments,1
committed,0
committee,1
commodities,0
commodity,0
common,2
commonly,0
commotion,0
communal,0
commune,0
communicate,0
communicating,1
communication,2
communications,0
communicator,0
communion,0
communities,1
community,9
commute,0
commuter,0
commuters,1
commuting,0
como,0
companies,2
companion,0
companions,0
company,5
compare,1
compared,1
comparison,1
compass,0
compassion,0
compassionate,0
compelling,0
compels,0
compensation,0
compete,0
competing,0
competition,2
compilation,0
compiled,1
complacency,0
complain,0
complaining,0
complaints,0
complement,0
complemented,0
complete,10
completed,1
completely,3
completing,0
completion,0
complex,2
complexion,0
complexities,0
compliance,1
complicated,0
complications,1
complicit,1
complied,1
compliment,0
complimentary,0
compliments,0
comply,0
complying,0
composed,0
composer,0
composition,1
compost,2
compound,0
compounds,0
comprehend,0
comprehensive,0
compromise,1
compromised,0
compton,0
compulsion,0
compulsory,0
computer,1
computers,0
comrade,0
comrades,0
con,0
conceive,0
concept,0
concepts,0
concern,0
concerned,2
concerns,5
concert,3
concerts,0
concluded,0
conclusion,0
conclusions,0
concoction,1
concord,0
concrete,0
concussion,0
condensation,0
condition,1
conditioning,0
conditions,2
condo,1
condolences,1
condom,0
condominium,0
condoms,1
conducive,0
conduct,2
conducted,1
conductor,0
cone,0
cones,0
conestoga,0
coney,0
confectionery,0
conference,1
conferences,0
confess,1
confessed,0
confessions,0
confetti,0
confidence,0
confident,0
confidential,0
confine,0
confined,0
confinement,3
confines,0
confirm,1
confirmatory,0
confirmed,6
confirms,1
conflict,0
conflicting,0
conflicts,0
confluence,0
confront,0
confronted,0
confronting,0
confucius,0
confuse,1
confused,1
confusion,0
congested,0
congo,0
congradulations,0
congrats,0
congratulations,1
congregating,0
congregation,0
congress,0
congresswoman,0
conjugal,0
conjunction,0
conjures,0
conjuring,0
conley,0
connect,0
connected,3
connecticut,2
connecting,1
connection,1
connections,1
connects,0
connor,0
conquer,0
conquerers,0
cons,0
conscious,0
consciously,0
consciousness,0
consent,0
consequence,1
consequences,1
conservation,0
conservatives,1
consider,4
considerate,0
consideration,0
considered,1
consignment,0
consist,0
consistency,0
consistent,0
consistently,0
consisting,1
consists,1
consolation,0
consolidate,0
conspiracies,1
conspiracy,4
constable,0
constant,1
constantly,1
constituency,0
constituents,0
constitutes,0
constitutional,0
constructed,0
construction,2
consult,0
consultancy,0
consultant,1
consultants,0
consultation,5
consulting,0
consults,0
consume,1
consumed,0
consumerist,0
consumes,0
consumption,0
cont,10
contact,14
contacted,0
contacting,0
contacts,0
contagion,0
contagious,0
contain,5
contained,0
container,2
containing,0
containment,0
contains,0
contaminated,0
contamination,0
contemplating,1
contemplation,1
contemporary,2
contend,0
contender,0
content,0
contented,0
contentment,0
contest,2
contestants,0
contests,0
context,0
continent,0
continental,1
continuation,0
continue,11
continued,2
continues,5
continuing,1
continuity,0
continuous,5
continuously,1
contortion,0
contours,0
contraception,1
contraceptive,1
contract,2
contracted,1
contracting,2
contraction,1
contractor,1
contracts,0
contradicted,1
contrary,0
contrast,0
contrasting,0
contribute,0
contributed,0
contributes,0
contributing,0
contribution,1
contributions,0
control,6
controlled,1
controller,0
controlling,0
controls,0
controversial,1
controversy,0
convenience,0
convenient,0
convention,0
conventional,0
conversation,1
conversations,0
converse,1
convert,0
converted,0
conveyance,0
conveys,0
convict,0
convince,0
convinced,1
convo,0
convoy,0
conway,0
coo,0
coochie,0
cook,3
cookbook,0
cooke,0
cooked,1
cooker,0
cookie,1
cookies,4
cooking,7
cooks,0
cool,3
cooled,0
cooler,0
coolest,0
coop,0
cooped,3
cooper,0
cooperate,1
cooperating,0
cooperation,0
coordinate,0
coordinated,0
coordination,0
coordinator,2
cop,0
cope,1
coped,1
copeland,1
copenhagen,0
copied,1
copies,0
coping,2
copley,0
copper,1
coppin,1
coppy,0
cops,0
copter,0
copy,2
copying,0
copyright,0
copyrights,0
cor,0
coral,0
corbett,0
cordial,0
cordova,0
core,0
corina,1
corinthians,1
cork,1
corks,0
corn,1
cornbread,0
cornea,0
cornell,1
corner,0
cornered,0
corners,1
cornish,0
corns,0
cornwall,1
corolla,3
corona,986
coronado,0
coronal,0
coronation,0
coronel,0
corp,0
corporate,1
corporation,2
corporations,1
corps,0
corpus,0
correct,0
correction,1
corrections,0
correctly,0
correlation,0
correspondence,0
correspondent,0
corridor,1
corrosive,0
corrupt,1
corruption,0
cortez,0
corvette,1
cory,0
cosa,0
cosby,0
cosmetic,1
cosmetics,0
cosmic,2
cosmos,0
cosplay,2
cost,2
costa,0
costco,0
costs,0
costume,1
cosway,0
cotswolds,0
cottage,2
cottages,0
cotton,0
couch,2
couches,0
cough,4
coughing,0
coughs,1
council,1
counsel,0
counseling,0
counselling,0
count,4
countdown,1
counter,0
counterbalance,0
countering,0
counters,0
counties,1
counting,2
countless,0
countries,1
country,26
countrymen,0
countryside,1
counts,251
county,5
couple,2
coupled,0
couples,0
coupon,3
courage,2
courageous,0
courageously,0
course,6
courses,0
court,0
courtenay,0
courtesy,0
courts,1
courtship,0
cousin,1
cousins,0
cousteau,0
couture,0
cove,1
covenant,1
covent,0
cover,2
coverage,1
covered,4
covergirl,0
covering,5
coverings,0
covers,0
covet,0
cow,0
coward,1
cowardly,0
cowboy,0
coworker,1
coworkers,0
cows,0
coyotes,0
coz,1
cozy,1
cp,0
cpa,0
cpr,0
cpu,0
cr,1
crab,1
crabs,0
crack,0
cracked,0
cracker,0
crackers,0
crackheads,0
crackin,0
cracking,1
craft,0
crafted,0
crafting,1
crafts,0
crafty,0
craig,0
craigs,0
cram,0
cranberry,1
crane,3
crank,0
cranky,1
cranston,0
crap,3
crappy,0
crash,0
crashed,0
crashes,1
crated,0
crave,0
craven,0
craving,1
cravings,2
crawford,1
crawl,0
crawley,1
crawling,0
cray,0
crayon,0
crayons,1
craze,0
crazed,0
craziest,0
craziness,0
crazy,3
cream,0
creamery,0
creased,0
create,7
created,3
creates,0
creating,2
creation,0
creations,1
creative,14
creatively,0
creativity,6
creator,0
creators,0
creature,2
creatures,0
credibility,0
credit,5
credits,2
creds,0
cree,0
creek,1
creeping,1
creepy,0
creighton,0
cremation,0
creme,0
crepe,0
crescent,0
crest,0
cretaceous,0
crete,0
crew,3
crews,0
crib,0
cricket,1
cried,0
crime,1
crimes,0
criminal,1
criminals,0
crimp,0
cringe,0
crises,0
crisis,19
crisp,0
crispy,0
cristiano,0
criteria,1
criterion,0
critical,3
critically,0
criticism,0
critics,0
croatia,0
croatian,0
crochet,0
crocheted,0
crocheting,0
crocs,0
croes,0
croix,0
crone,0
cronies,0
crooks,0
crooner,0
crooners,1
crooning,0
crop,0
crops,0
croquet,0
crore,0
crorepati,0
crores,0
cross,3
crossed,0
crossing,0
crossover,1
crow,1
crowd,1
crowded,2
crowds,0
crowed,0
crown,5
crowned,0
crowning,2
croydon,3
crucial,2
crucifixion,0
cruel,1
cruella,0
cruise,3
cruiserweight,0
cruises,0
cruiseship,0
cruising,0
crumbling,0
crunch,0
crusade,1
crush,3
crushed,0
crushing,0
crust,0
crusty,0
cruz,1
cry,1
crying,1
crypt,0
cryptic,0
crypto,0
crystal,1
crystals,0
cs,1
cst,0
ct,0
ctr,0
cub,0
cuba,0
cuban,0
cube,0
cubes,0
cubs,0
cucamonga,0
cuckoo,0
cucumber,2
cucumbers,1
cud,0
cuddle,0
cuddles,0
cuddling,0
cuddly,0
cue,1
cuisine,0
cul,1
culinary,1
cullinan,1
culpable,0
cult,0
cultivate,0
cultivation,1
cultural,0
culture,4
culver,0
cum,0
cumberland,0
cumming,0
cummings,0
cuomo,7
cup,1
cupboard,0
cupboards,0
cupcake,0
cupcakes,0
cuppa,0
cupping,0
cups,0
curacao,1
curb,3
cure,12
cured,0
cures,0
curfew,20
curfews,0
curie,0
curing,0
curiosities,1
curiosity,0
curious,0
curl,0
curls,3
current,7
currently,7
curriculum,0
curry,1
curse,0
curtail,0
curtailing,1
curtain,0
curve,14
curved,0
curves,1
curving,0
curvy,0
cus,1
cushioned,0
cuss,0
custard,0
custom,3
customer,1
customers,7
customization,0
customized,0
cut,8
cute,1
cuteness,0
cutest,0
cutie,0
cutler,0
cutlet,0
cuts,3
cutting,1
cuz,1
cv,1
cvs,2
cya,1
cyber,1
cycle,0
cycles,0
cyclical,0
cycling,5
cyclist,0
cyclists,0
cylinder,0
cynical,0
cynthia,0
cypher,0
cyprus,0
cyrus,0
czech,0
d,75
da,4
daal,0
dab,1
dabbles,0
dachshund,0
dad,0
dada,0
daddy,0
dadgum,0
dads,1
daffodils,2
dag,0
dagobah,0
dahlia,0
daily,15
dairy,0
daisy,0
dakar,0
dakota,0
dal,0
dalek,0
daleks,0
dales,0
dalian,0
dallas,6
daly,0
dam,1
damage,5
damaged,0
damages,0
damaging,0
daman,0
dame,1
damien,0
damm,0
dammit,0
damn,8
damned,1
damnit,0
dampen,2
dampener,0
damsel,0
dan,0
dana,0
danbury,0
dance,13
dancefloor,0
dancehall,3
dancer,1
dancers,0
dances,0
dancin,0
dancing,0
dandelion,1
dandelions,0
dandia,0
dang,0
danger,12
dangerous,3
dangerously,0
dani,1
daniel,0
danielle,0
daniels,0
dank,1
danke,0
danni,0
danny,1
dans,0
danson,1
dany,0
danzig,2
dapper,0
dar,4
dard,0
dari,0
darin,0
dark,0
darker,0
darkest,0
darkness,0
darkwave,0
darling,0
darn,0
darnedest,1
darr,0
darshan,0
dart,1
dartmouth,0
darts,0
daryl,0
das,2
dash,0
dat,2
data,45
date,1
dates,1
dating,0
datta,0
daughter,4
daughters,0
dave,1
davenport,0
david,0
davidson,0
davie,0
davis,0
dawg,0
dawn,0
dax,0
day,182
dayal,0
daybreak,0
daydreaming,0
daylight,0
daylights,0
dayo,0
days,106
daytime,0
dayton,0
daytona,0
dayu,0
dbz,2
dc,3
dde,0
ddr,0
de,6
deacon,0
dead,88
deadliest,0
deadline,0
deadly,7
deaf,1
deafening,0
deal,3
dealer,0
dealing,1
deals,1
dean,0
dear,10
dearest,1
dearly,0
death,9
deathbed,0
deathrow,0
deaths,71
deathtrap,0
deb,1
debate,0
debating,1
debbie,0
debilitating,0
deborah,2
debra,1
debt,0
debts,0
debunks,0
debut,1
debuted,0
debuts,0
dec,0
decade,0
decades,1
decal,0
decays,1
deceased,0
december,1
decent,0
deceptive,0
decide,3
decided,9
decides,0
deciding,0
decision,0
decisions,0
deck,1
decks,0
declan,0
declaration,0
declarations,1
declare,1
declared,1
declares,2
decline,1
declining,0
deconstructed,0
decontamination,0
decor,1
decorate,3
decorated,0
decorating,0
decoration,1
decorative,1
decrease,0
decreased,0
decree,0
decries,0
dedicate,0
dedicated,1
dedication,0
deduced,0
dee,1
deeds,0
deejay,3
deemed,0
deen,0
deep,6
deepak,1
deepening,0
deeper,0
deepest,1
deeply,2
deer,0
deerfield,0
deers,1
deets,0
deez,0
def,0
defacto,1
defeat,6
defeated,0
defeating,0
defeats,0
defect,0
defence,1
defend,0
defended,1
defender,0
defends,1
defense,2
defensive,0
deferred,0
deff,0
defibrillator,0
deficits,0
define,0
defined,0
defines,0
definite,0
definitely,3
definition,0
deftly,0
defying,1
degenerate,0
degeneres,1
degi,0
degradable,2
degree,1
degrees,2
dehli,0
dehumanization,0
dei,1
deja,0
dejavu,0
dekh,0
dekho,0
del,3
delaware,1
delay,0
delayed,0
delaying,0
delays,1
delhi,4
deli,0
delicacy,0
delicate,0
delicatessen,1
delicious,2
delight,0
delighted,1
delightful,0
deliver,3
deliverance,0
delivered,1
deliveries,0
delivering,1
delivers,0
delivery,7
dell,0
della,1
delorean,1
delta,0
deluxe,0
delve,0
dem,6
demand,4
demanded,1
demanding,0
demands,0
dementia,0
demo,2
democracy,0
democrat,1
democratic,0
democrats,0
demon,0
demonic,0
demonize,1
demonized,1
demonizing,0
demons,0
demonstrate,1
demonstrating,0
demonstration,1
demos,0
demoted,0
den,0
denali,1
denial,8
denials,0
denied,0
denim,0
denmark,11
dennis,0
densely,1
dental,2
dentist,0
dentistry,0
dentists,0
denton,0
dentro,1
denver,0
deo,0
departed,0
department,2
departments,0
departure,0
departures,0
depend,1
depending,0
depends,0
depletion,0
deployed,0
depot,1
depressed,1
depressing,0
depression,0
depressions,0
depsite,1
dept,0
depth,0
deputy,1
der,0
derail,0
derby,0
derbyshire,0
dere,0
derek,1
derelict,0
derives,0
derr,0
derry,0
des,0
desaturated,0
descent,1
describe,0
described,0
describes,0
description,3
descriptive,0
desert,2
deserted,1
desertscape,0
deserve,0
deserved,0
deserves,1
deserving,1
desh,0
desi,0
design,4
designed,0
designer,4
designers,1
designs,3
desirable,0
desire,1
desist,1
desk,2
desolate,0
desolation,0
despair,0
desperate,0
desperately,1
desperation,0
dessert,2
desserts,0
destination,0
destinations,0
destined,0
destiny,0
destitution,0
destroy,1
destroyed,0
destroying,1
destruction,0
det,0
detail,0
detailed,0
details,0
detected,1
detecting,0
detection,0
detective,0
detector,0
detention,1
detergent,1
detergents,2
determination,0
determine,0
determined,2
determining,0
deterred,0
detox,3
detritus,2
detroit,3
deuce,0
deutsch,0
deutschland,0
dev,0
devalued,0
devastate,2
devastating,0
develop,0
developed,1
developing,3
development,1
developments,0
develops,1
devi,0
device,0
devices,0
devil,1
devils,0
devito,0
devolved,0
devon,1
devoted,0
devotional,0
devour,0
dews,0
dewy,0
dey,2
df,2
dg,1
dh,0
dhaka,0
dharam,0
dharma,0
di,1
dia,0
diabetes,1
diabetic,0
diabolical,0
diagnose,0
diagnosed,1
diagnosis,0
diagonal,0
dial,1
dialogue,0
dialysis,2
diamond,0
diamonds,0
diane,0
diaper,0
diapers,1
diaries,0
diary,0
dias,0
diaspora,0
diavolo,0
diaz,0
dich,1
dicht,0
dick,1
dickinson,0
dictate,0
dictator,0
dictionary,0
diddy,0
didi,0
didnt,1
die,5
died,8
diego,2
diehl,0
dies,1
diesel,0
diet,5
differ,0
difference,3
differences,2
differently,0
difficult,3
difficulties,0
difficulty,0
dig,0
digest,0
digging,1
digit,0
digital,8
digitally,0
digitisation,0
digressing,1
dike,0
dil,0
dildo,0
dilemma,1
dilemmas,0
diligently,0
dill,0
dim,0
dimas,0
dimension,0
din,0
dinah,0
dine,0
diner,0
dingle,0
dining,4
dinner,14
dinners,0
dino,0
dinosaur,1
dinosaurs,1
dint,0
dip,0
diploma,0
diplomatic,0
dipped,0
dipping,0
dips,2
dire,0
direct,2
directed,1
direction,1
directional,0
directions,0
directive,0
directives,1
director,1
directors,0
directory,0
dirt,0
dirty,4
dis,2
disabilities,0
disability,0
disadvantaged,0
disappear,1
disappeared,1
disappears,0
disappoint,0
disappointed,0
disappointing,0
disappointment,1
disaster,1
disasters,0
disastrous,1
disc,0
discarded,0
discards,0
discharge,0
discharged,0
disciples,0
discipline,0
disciplined,0
disclaimer,0
disclose,0
disclosure,0
disco,0
disconnect,0
disconnection,0
discontinued,0
discord,0
discount,3
discounted,1
discouraging,0
discover,1
discovered,0
discoveries,0
discovers,0
discovery,0
discriminate,0
discrimination,1
discus,0
discuss,2
discussed,0
discusses,0
discussing,2
discussion,2
disdain,0
disease,15
diseased,0
diseases,0
disfigured,0
disgrace,1
disguise,0
disguised,0
disgust,0
disgusting,0
dish,0
dishes,1
dishwasher,0
dishwashing,1
disinfectant,1
disinfecting,0
disinformation,1
disingenuous,0
disk,0
dislike,0
dismantling,1
disney,4
disneyland,1
disneys,0
disobeying,0
disoriented,0
disparities,0
disparity,0
dispatch,0
dispatched,0
dispel,0
dispensation,0
dispense,0
dispiriting,0
displaced,0
displacement,0
display,0
displayed,0
displaying,0
disposable,6
disposal,2
dispose,0
disproportionate,0
disproportionately,1
dispute,1
disregard,1
disrespect,0
disrespected,0
disrespectful,0
disrupted,1
disruption,0
disruptions,0
disruptive,0
diss,0
dissapointment,0
disseminate,2
dissertation,1
distance,4
distanced,0
distances,1
distancing,35
distant,1
distantly,0
distasteful,0
distillery,2
distilling,0
distinction,0
distract,0
distracted,0
distraction,1
distractions,0
distribute,2
distributed,2
distributing,0
distribution,2
distributors,0
district,11
districts,1
disturbance,0
disturbed,0
disturbing,0
ditch,0
dithering,0
ditmas,0
ditto,0
ditty,0
div,0
diva,0
divas,0
dive,0
diver,0
divergent,0
divers,0
diversion,1
diversity,0
divert,0
divide,0
divided,0
divider,0
divine,0
diviner,0
diving,0
divinity,2
division,4
divo,0
divorce,0
divorced,0
diwali,0
dix,0
dixon,0
diy,5
diya,4
dj,3
djs,0
dk,0
dle,0
dm,4
dmd,0
dmv,4
dmx,0
dna,1
dnc,0
dnd,0
doable,1
doc,0
dock,0
docklands,0
docks,0
docs,0
doctor,10
doctoral,0
doctors,1
docu,0
document,0
documentary,1
documented,0
documenting,0
documents,0
doddle,0
dodge,0
dodging,0
dodo,0
doe,0
doen,0
doer,0
doers,0
doesnt,0
dog,8
dogg,0
doggie,0
doggies,0
dogging,0
dogood,0
dogs,1
doh,0
doi,0
doin,1
dojo,0
dolan,0
doll,0
dollar,1
dollars,0
dolled,0
dolls,0
dolores,0
dolphin,0
dolphins,1
dom,0
domain,0
dome,1
domestic,1
domesticated,0
domestication,0
domicile,0
dominant,0
dominated,0
dominates,0
domination,0
dominic,0
dominican,0
dominion,0
dominique,0
domino,0
donald,5
donate,13
donated,9
donates,0
donating,4
donation,2
donations,1
doncaster,2
donkey,0
donna,0
donner,0
donor,2
donors,0
donot,1
dont,4
donut,0
donuts,1
doodle,0
doodled,0
doodling,0
dookie,1
doom,1
doomed,0
doomsday,0
doon,0
door,1
doordarshan,0
doorknobs,0
doorman,0
doors,2
doorstep,3
doozy,0
dope,2
dor,1
dora,0
dorado,0
doris,0
dorking,0
dorm,1
dormitory,1
dorms,0
dorset,0
dos,1
dose,0
doses,1
dot,0
dots,0
dott,0
dotted,0
double,82
doubled,0
doubles,0
doubling,3
doubt,0
doubtful,0
doubting,1
dough,0
doughnuts,0
downing,0
download,5
downloaded,0
downs,2
downside,0
downsize,0
downtime,0
downtown,1
downturn,0
dozen,1
dozens,1
dp,0
dpp,1
dq,0
dr,9
draconian,0
